23349,0.01,-0.04,1.02
23375,0.01,-0.04,1.01
23402,0,-0.04,1.01
23429,0,-0.04,1.02
23455,0.01,-0.04,1.01
23482,0,-0.04,1.02
23508,0.01,-0.04,1.01
23535,0,-0.04,1.01
23563,0.01,-0.04,1.02
23589,0,-0.04,1.01
23616,0,-0.04,1.01
23643,0,-0.04,1.02
23670,0,-0.04,1.01
23697,0,-0.05,1.01
23724,0,-0.04,1.01
23751,0.01,-0.03,1.01
23778,0.01,-0.04,1.02
23804,0.01,-0.04,1.01
23831,0,-0.04,1.01
23858,0.01,-0.04,1.02
23884,0.01,-0.04,1.01
23911,0,-0.04,1.01
23939,0,-0.04,1.01
23965,0.01,-0.04,1.02
23992,0.01,-0.04,1.01
24018,0.01,-0.04,1.02
24045,0.01,-0.04,1.01
24072,0.01,-0.04,1.02
24099,0.01,-0.04,1.02
24126,0.01,-0.03,1.01
24153,0.01,-0.04,1.01
24179,0.01,-0.05,1.01
24206,0,-0.04,1.03
24232,0.01,-0.04,1.02
24260,0,-0.04,1.02
24287,0,-0.04,1.02
24313,0,-0.04,1.02
24340,0,-0.04,1.01
24367,0,-0.04,1.02
24393,0,-0.04,1.02
24422,0,-0.03,1.02
24449,0.01,-0.04,1.02
24475,0,-0.04,1.02
24502,0.01,-0.04,1.01
24528,0,-0.04,1.02
24555,0.01,-0.04,1.01
24582,0.01,-0.04,1.01
24609,0.01,-0.04,1.02
24636,0.01,-0.03,1.01
24663,0,-0.03,1.02
24689,0.01,-0.04,1.01
24716,0,-0.04,1.02
24742,0,-0.04,1.01
24771,0,-0.04,1.01
24799,0,-0.03,1.02
24825,0.01,-0.04,1.02
24852,0.01,-0.04,1.03
24879,0.01,-0.04,1.02
24905,0,-0.03,1.01
24933,0.01,-0.03,1.02
24960,0,-0.04,1.01
24986,0.01,-0.04,1.02
25013,0.01,-0.04,1.01
25039,0,-0.04,1.01
25066,0.01,-0.04,1.02
25094,0.01,-0.04,1.03
25120,0.01,-0.04,1.01
25147,0.01,-0.04,1.02
25174,0.01,-0.04,1.01
25200,0.01,-0.04,1.01
25227,0.01,-0.04,1.02
25254,0,-0.03,1.02
25281,0.01,-0.04,1.02
25308,0.01,-0.04,1.02
25334,0.01,-0.04,1.01
25361,0.01,-0.04,1.01
25388,0.01,-0.04,1.02
25414,0.01,-0.04,1.02
25442,0.01,-0.04,1.03
25468,0.01,-0.04,1.01
25495,0,-0.03,1.02
25522,0,-0.03,1.02
25548,0.01,-0.04,1.02
25575,0,-0.04,1.02
25603,0,-0.04,1.02
25629,0.01,-0.04,1.01
25656,0.01,-0.04,1.02
25682,0,-0.04,1.02
25709,0,-0.04,1.01
25736,0.01,-0.04,1.02
25763,0.01,-0.04,1.01
25790,0,-0.05,1.02
25817,0.01,-0.04,1.01
25843,0.01,-0.04,1.02
25870,0.01,-0.04,1.01
25896,0,-0.04,1.02
25923,0.01,-0.04,1.01
25951,0,-0.04,1.01
25977,0.01,-0.04,1.01
26004,0.01,-0.04,1.02
26031,0,-0.04,1.02
26057,0.01,-0.03,1.01
26084,0.01,-0.04,1.01
26112,0.01,-0.04,1.01
26138,0.01,-0.04,1.01
26165,0,-0.03,1.02
26191,0.01,-0.03,1.01
26218,0.01,-0.04,1.01
26245,0.01,-0.04,1.01
26272,0.01,-0.04,1.01
26299,0,-0.03,1.01
26326,0,-0.04,1.01
26352,0.01,-0.04,1.02
26379,0.01,-0.04,1.02
26405,0,-0.04,1.01
26432,0,-0.04,1.01
26461,0,-0.03,1.01
26487,0.01,-0.04,1.03
26514,0.01,-0.04,1.01
26541,0.01,-0.04,1.01
26567,0.01,-0.04,1.01
26594,0.01,-0.04,1.02
26620,0.01,-0.04,1.02
26648,0.01,-0.03,1.02
26675,0,-0.04,1.01
26701,0,-0.04,1.02
26728,0.01,-0.03,1.01
26755,0.01,-0.03,1.01
26781,0,-0.04,1.01
26809,0.01,-0.04,1.01
26835,0.01,-0.04,1.02
26862,0.01,-0.04,1.01
26889,0.01,-0.03,1.02
26915,0.01,-0.04,1.02
26942,0,-0.04,1.02
26970,0,-0.04,1.02
26996,0,-0.04,1.02
27023,0.01,-0.03,1.02
27049,0.02,-0.04,1.02
27076,0,-0.04,1.02
27103,0,-0.04,1.01
27130,0,-0.03,1.01
27157,0.01,-0.04,1.01
27184,0,-0.05,1.02
27210,0,-0.04,1.01
27237,0.01,-0.04,1.01
27264,0.01,-0.03,1.01
27290,0.01,-0.04,1.02
27317,0.01,-0.04,1.01
27344,0,-0.04,1.01
27372,0.01,-0.04,1.02
27399,0,-0.03,1.02
27425,0,-0.04,1.03
27452,0.01,-0.03,1.02
27479,0.01,-0.04,1.01
27506,0.01,-0.04,1.01
27533,0,-0.04,1.02
27559,0,-0.04,1.02
27586,0.01,-0.04,1.02
27613,0,-0.04,1.01
27639,0.01,-0.04,1.02
27666,0,-0.04,1.01
27694,0.01,-0.04,1.01
27720,0.01,-0.04,1.01
27747,0,-0.04,1.01
27773,0.01,-0.04,1.02
27800,0.01,-0.04,1.01
27827,0,-0.04,1.02
27854,0.01,-0.05,1.02
27881,0,-0.04,1.01
27908,0,-0.03,1.02
27935,0.01,-0.04,1.02
27962,0.01,-0.04,1.02
27988,0,-0.04,1.02
28016,0.01,-0.04,1.01
28043,0.01,-0.04,1.02
28069,0.01,-0.04,1.01
28096,0.01,-0.04,1.02
28123,0.01,-0.04,1.01
28149,0.01,-0.04,1.01
